"Name","Country of Origin","Type","Powerplants","Performance","Weights","Dimensions","Capacity","Production","History","Source URL"
"Cessna Citation II & Bravo","United States of America","Light corporate jets","S/II - Two 11.1kN (2500lb) Pratt & Whitney Canada JT15D4Bs turbofans. Bravo - Two 12.8kN (2885lb) Pratt & Whitney Canada PW503As.","S/II - Cruising speed 746km/h (403kt). Initial rate of climb 3040ft/min. Range with two crew, four passengers and reserves 3223km (1739nm). Range with max fuel 3700km (1998nm). Bravo - Max cruising speed 743km/h (401kt). Max initial rate of climb 3195ft/min. Max certificated altitude 45,000ft. Range with four passengers and reserves 3520km (1900nm).","S/II - Empty equipped 3655kg (8060lb), max takeoff 6850kg (15,100lb). Bravo - Empty 3970kg (8750lb), max takeoff 6715kg (14,800lb).","S/II - Wing span 15.91m (52ft 3in), length 14.39m (47ft 3in), height 4.57m (15ft 0in). Wing area 31.8m2 (342.6sq ft). Bravo - Wing span 15.90m (52ft 2in), length 14.39m (47ft 3in), height 4.57m (15ft 0in). Wing area 30.0m2 (322.9sq ft).","S/II - Flightcrew of two. Main cabin can be optionally configured to seat 10, but standard interior layout for six. Can be configured as an air ambulance with one or two stretchers and up to four medical attendants. Bravo - Standard seating for seven with max seating for 10 in main cabin.","733 Citation IIs built through to late 1994. Bravo deliveries began Feb 1997, over 52 delivered by late 1998.","The early success of the original Citation led Cessna to develop a larger capacity Citation model in the mid 1970s. <p>Cessna announced the stretched Citation in September 1976. The fuselage was extended by 1.14m (3ft 9in) to increase maximum seating capacity to 10, while more powerful Pratt & Whitney Canada JT15D4 engines and greater fuel tankage meant higher cruise speeds and longer range. Increased baggage capacity and increased span wings were also added. <p>The new Model 550 Citation II first flew on January 31 1977 and FAA certification for two pilot operation was awarded in March 1978. The II/SP is the single pilot version. <p>Major improvements were made to the design with the arrival of the Model S550 Citation S/II. Announced in October 1983, this improved version first flew on February 14 1984. Certification, including an exemption for single pilot operation, was granted that July. Improvements were mainly aerodynamic, including a new wing designed using supercritical technology developed for the Citation III (described separately), plus JT15D4B turbofans. The S/II initially replaced the II in production from 1984, but the II returned to the lineup from late 1985, and both variants remained in production until the introduction of the Bravo. <p>The Bravo features new P&WC PW530A turbofans, modern Honeywell Primus EFIS avionics suite, a revised interior based on that introduced in the Citation Ultra and other improvements such as trailing link main undercarriage. The Bravo first flew on April 25 1995 and was granted certification in August 1996. First delivery was in February 1997. <p>","https://www.airliners.net/aircraft-data/cessna-citation-ii-bravo/160"
"Cessna Citation III, VI & VII","United States of America","Medium size corporate jets","III & VI - Two 16.2kN (3650lb) Garrett TFE7313B100S turbofans. VII - Two 18.2kN (4080lb) AlliedSignal TFE7314R2Ss.","III & VI - Max cruising speed 874km/h (472kt). Initial rate of climb 805ft/min. Range with two crew and four passengers and reserves 4348km (2346nm). VII - Max cruising speed 881km/h (476kt). Initial rate of climb 4442ft/min. Range with six passengers and reserves 4110km (2220nm).","III & VI - Empty 5357kg (11,811lb), operating empty 5534kg (12,200lb), max takeoff 9980kg (22,000lb). VII - Empty 5316kg (11,720lb), max takeoff 10,183kg (22,450lb).","Wing span 16.31m (53ft 6in), length 16.90m (55ft 6in), height 5.12m (16ft 10in). Wing area 29.0m2 (312.0sq ft).","Flightcrew of two. Typical main passenger cabin seating for six, or optionally up to nine.","Total of 202 Citation IIIs delivered when production ceased in 1992. A total of 39 Citation VIs had been built when production ceased in 1995, while over 90 VIIs had been built by late 1998.","The all new Cessna Model 650 Citation III was designed as a high performance, mid size long range corporate jet to supplement the much smaller Citation I and II. <p>Development of this very different Citation began in 1978. As it evolved, the III had little in common with the previous Citation models other than the name. The new design featured a swept supercritical wing optimised for high speed long range flight, new Garrett TFE731 turbofans, a Ttail, and a new fuselage. <p>The new jet made its first flight on May 30 1979 with a second prototype flying on May 2 1980. Certification was granted on April 30 1982, first customer deliveries occurring the following year. The Citation III set two time to height records for its class in 1983 and a class speed record by flying from Gander to Le Bourget in 5hr 13min. <p>Production improvements to the Citation III were first proposed in the cancelled Citation IV. This model was announced in 1989 and was to feature longer range through greater fuel tankage, and better short field performance. In its place instead Cessna developed the Citation VI and VII. The Citation VI was offered as a low cost development of the III with a different avionics package and a standard interior layout, with customised interiors unavailable. First flight of the Citation VI took place in 1991 but only 39 were built when production was wound up in May 1995. <p>The Citation VII meanwhile features a number of improvements including more powerful engines for improved hot and high performance. The first Citation VII prototype flew in February 1991 and the type was certificated in January 1992. The Citation VII remains in production as the only member of the Citation III/VI/VII currently available new build. <p>A recent significant customer for the Citation VII was Executive Jet Aviation which ordered 20 for its NetJets fractional ownership scheme for delivery from 1997. <p> <p>","https://www.airliners.net/aircraft-data/cessna-citation-iii-vi-vii/163"
"Cessna Citation X","United States of America","Long range, high speed, mid size corporate jet","Two 28.5kN (6400lb) Allison AE 3007C turbofans.","Max cruising speed at mid cruise weight Mach 0.92 (934km/h/504kt) at 37,000ft. Initial rate of climb 4000ft/min. Max certificated altitude 51,000ft. Range with reserves 6020km (3250nm).","Typical empty equipped 9705kg (21,400lb), max takeoff 16,195kg (35,700lb).","Wing span 19.48m (63ft 11in), length 22.00m (72ft 2in), height 5.77m (18ft 11in). Wing area 49.0m2 (527.0sq ft).","Flightcrew of two. Main cabin seating for up to 12 passengers seated on individual seats and couches in a high density configuration. Other interiors to customer preference, including eight passenger seats in a double club arrangement.","First production Citation X delivered in June 1996. Approx 60 delivered by late 1998. Target production rate 24 per year.","The Citation X is Cessna's largest, fastest and longest range aircraft yet, and Cessna claims it to be the fastest civil transport in service other than the supersonic Concorde.

The Citation X (as in the Roman numeral, not the letter, and Cessna's Model 750) is also the largest member of business aviation's biggest corporate jet family, the Citation series.

The design objectives behind the Citation X included transcontinental USA and trans Atlantic range in a mid size package that cruises faster than any other business jet available. This high speed cruise capability, which Cessna says is 105 to 210km/h (55 to 113kt) faster than other mid size corporate jet, means the X can save up to one hour's flight time on transcontinental US flights, flying from Los Angeles to New York with normal wind conditions in 4 hours 10 minutes. Because of its ability to cruise at high speed at high altitudes, Cessna also says the Citation X will consume less fuel than current jets on such a transcontinental flight. 

The X's FADEC equipped Allison AE 3007A turbofans are very powerful for an aircraft of the X's size, while the highly swept (37°) wings are also long in span.

Other design features of the Citation X include the fuselage cross section of the Citation III, VI and VII but with more efficient use of internal space that allows greater head and shoulder room, an area ruled, waisted rear fuselage, trailing link main undercarriage units and a modern Honeywell Primus 2000 EFIS avionics suite with five colour CRT displays.

Cessna announced that it was developing the Citation X in October 1990 at that year's NBAA conference. The prototype was publicly rolled out in September 1993 and flew for the first time on December 21 that year. Certification was granted on June 3 1996, with the first customer delivery (to golfer Arnold Palmer) that month.

A Citation X was the 2500th Citation to be delivered, handed over on September 10 1997. The USA's National Aeronautics Association awarded its prestigious Collier Trophy to the Citation X design team in February 1997.","https://www.airliners.net/aircraft-data/cessna-citation-x/166"
"Cessna CitationJet, CJ1 & CJ2","United States of America","Light corporate jets","CitationJet & CJ1 - Two 8.45kN (1900lb) Williams Rolls-Royce FJ44-1A turbofans. CJ2 - Two 10.2kN (2300lb) FJ442Cs.","CitationJet - Max cruising speed at 3990kg (8800lb) AUW 704km/h (380kt). Initial rate of climb 3311ft/min. Certificated ceiling 41,000ft. Range with max fuel and reserves 2750km (1485nm). CJ1 - Range with pilot, three passengers and IFR reserves 2315km (1250nm). CJ2 - Max cruising speed at 33,000ft 741km/h (400kt). Service ceiling 45,000ft. Range with pilot, three passengers and IFR reserves 2687km (1450nm).","CitationJet - Empty 2794kg (6160lb), max takeoff 4717kg (10,400lb). CJ1 - Max takeoff 4812kg (10,600lb). CJ2 - Max takeoff 5585kg (12,300lb).","CitationJet & CJ1 - Wing span 14.26m (46ft 10in), length 12.98m (42ft 7in), height 4.18m (13ft 8in). Wing area 22.3m2 (240.0sq ft). CJ2 - Wing span 15.18m (49ft 10in), length 14.30m (46ft 11in).","CitationJet & CJ1 - Two flightdeck positions, one for pilot, other for a copilot or passenger. Main cabin seats five in standard layout. CJ2 - Main cabin seats six in standard club arrangement.","300th CitationJet due to be delivered in early 1999. 76 advance orders for the CJ2 held at late 1998.","The highly successful CitationJet was developed as a replacement for the Citation and Citation I. Improved and stretched developments, the CJ1 and CJ2 respectively, are under development. 

Cessna launched the new Model 525 CitationJet at the annual US National Business Aircraft Association convention in 1989. First flight occurred on April 29 1991, FAA certification was awarded on October 16 1992 and the first delivery was on March 30 1993. 

The CitationJet is effectively an all new aircraft. The same basic Citation forward fuselage is mounted to a new T-tail configured tailplane and a new supercritical laminar flow wing, and it features Williams Rolls FJ44 turbofans (with paddle thrust reversers) and trailing link main undercarriage. The CitationJet's fuselage is 27cm (11in) shorter than the Citation/Citation I's, while cabin height is increased courtesy of a lowered centre aisle. It features EFIS avionics and is certificated for single pilot operation. 

At the 1998 NBAA convention Cessna revealed it was developing the improved CJ1 and stretched CJ2. The CJ1 will replace the CitationJet and will introduce a Collins Pro Line 21 EFIS avionics suite and a moderate increase in maximum takeoff weight. The CJ1 will be delivered from the first quarter of 2000. 

The CJ2 meanwhile is a stretched, faster and more powerful development. Due to fly in the second quarter of 1999 and be certificated 12 months later, the CJ2 will feature a 89cm (35in) cabin and 43cm (17in) tailcone stretch allowing standard seating for six in the main cabin. Like the CJ1 it will feature Collins Pro Line 21 EFIS avionics, plus uprated FJ44-2C engines, increased span wings, larger area tail, six cabin windows per side and greater range. It will be certificated for single pilot operation.","https://www.airliners.net/aircraft-data/cessna-citationjet-cj1-cj2/159"
"Cessna Corsair, Conquest I & II & Caravan II","United States of America","Turboprop powered executive transports","425 - Two 335kW (450shp) Pratt & Whitney Canada PT6A112 turboprops driving three blade wide chord constant speed Hartzell propellers. 441 - Two 474kW (636shp) Garrett TPE3318410S/402S turboprops driving either Hartzell or McCauley props.","425 - Max cruising speed 490km/h (264kt) at 17,700ft. Initial rate of climb 2027ft/min. Service ceiling 34,700ft. Range with max payload 1252km (676nm), max range 3050km (1647nm). 441 - Max speed 547km/h (295kt), max cruising speed 543km/h (293kt). Initial rate of climb 2435ft/min. Service ceiling 37,000ft. Max range with reserves at long range cruising speed 3048km (1646nm), range with max payload and reserves 2724km (1471nm).","425 - Empty equipped 2210kg (4870lb), max takeoff 3710kg (8200lb). 441 - Empty 2588kg (5706lb), max takeoff 4468kg (9850lb).","425 - Wing span 13.45m (44ft 2in), length 10.93m (35ft 10in), height 3.84m (12ft 7in). Wing area 20.9m2 (224.98sq ft). 441 - Wing span 15.04m (49ft 4in), length 11.89m (39ft 0in), height 4.01m (13ft 1in). Wing area 23.6m2 (253.6sq ft).","425 - Typical accommodation one or two pilots and four passengers in corporate configured main cabin, optional passenger seating for six. 441 - One or two pilots and up to nine passengers.","Over 230 Corsair/Conquest Is delivered by the end of 1987 by which time production had been suspended. 370 Model 441s were built. Over 70 F4065s built thus far.","The Corsair and Conquest I, and the 441 Conquest II are the turboprop powered equivalents of the 421 Golden Eagle and 404 Titan respectively. <p>The Model 441 Conquest was the first to be developed, it was designed concurrently with the piston engined 404 Titan in the mid 1970s. Development was announced in November 1974, and the first flight occurred in August 1976. First customer deliveries were from September 1977. The 441 shares a common fuselage with the Titan, but has a longer span (bonded and wet) wing, a pressurised fuselage, and most significantly, Garrett TPE331 turboprop engines. A PT6A powered 441, designated the 435, flew during 1986, but it did not enter production. <p>The 425 Corsair meanwhile was introduced to the Cessna model lineup from 1980. Based on the Model 421 Golden Eagle, it differs from its donor aircraft in having turboprop engines (in this case PT6As). Design work on the Corsair began in 1977, first flight was on September 12 1978 and first production deliveries took place in November 1980. <p>From 1983 Cessna renamed the Corsair the Conquest I, while the Conquest became the Conquest II. Production of both ceased in 1986. <p>The French built Reims Cessna F406 Caravan II meanwhile is something of a hybrid, incorporating 373kW (500shp) PT6A112s, the unpressurised fuselage of the Titan and the Conquest II's wings. First delivered in late 1984, the Caravan II is the only Cessna turboprop twin currently in production. <p>","https://www.airliners.net/aircraft-data/cessna-corsair-conquest-i-ii-caravan-ii/156"
"Cessna T303 Crusader","United States of America","Six seat corporate and utility transport","Two 185kW (250hp) Continental TSIO520AE turbocharged and fuel injected flat six piston engines driving three blade constant speed counter rotating McCauley propellers.","Max speed 400km/h (216kt) at 18,000ft, max cruising speed 363km/h (196kt), economical cruising speed 333km/h (180kt). Initial rate of climb 1480ft/min. Service ceiling 25,000ft. Range with max fuel and reserves at 71% power at 20,000ft 1658km (895nm), at economical cruising speed and 10,000ft 1890km (1020nm).","Empty 1526kg (3364lb), max takeoff 2336kg (5150lb).","Wing span 11.90m (39ft 0.5in), length 9.27m (30ft 5in), height 4.06m (13ft 4in). Wing area 17.6m2 (189.2sq ft).","Normal seating for pilot and five passengers with central aisle between seats. Can be configured with a club seating arrangement for four in the main cabin, or for aerial ambulance or freighter work.","In production between 1981 and 1985, 297 Crusaders were sold.","Cessna's Model 303 started life as a four seat twin, intended for the hotly contested light transport and training role. <p>One four seat 303 was flown for a time from February 14 1978. Powered by two 120kW (160hp) Lycoming O320 engines it would have competed against the Beech Duchess, Grumman GA7 (Cougar) and Piper Seminole. However, a reappraisal of market demand for aircraft in this already crowded class led to Cessna rethinking the 303 design, and the outcome was a larger aircraft. Instead the resulting six seater aircraft was intended to replace Cessna's 310, then nearing the end of its production life. <p>The new model, designated the T303 for its turbocharged (and fuel injected) Continental TSIO520 engines, flew for the first time on October 17 1979. Certification was granted in August 1981, and first production deliveries commenced in October 1981. For a time the T303 was named the Clipper, but this was changed to Crusader as PanAm held the rights to the Clipper name. <p>In its definitive form the T303 incorporated a number of advanced features, being the first entirely new piston twin from Cessna in over a decade. Features included bonded structures around the integral fuel tank, a supercritical wing section and counter rotating propellers, while standard equipment included integral airstairs and a full IFR avionics suite (Cessna claimed the latter as a first for its class). <p>Only minor changes were introduced during production, including the addition of anti ice equipment as an option in 1982, and in 1983 the rear cabin bulkhead was moved aft slightly which increased baggage space and allowed the addition of a cargo door. <p>Production of the Crusader wound up in 1985 as part of the general decline in light aircraft sales during that period, terminating prematurely what looked to be a successful program. The cancellation also put paid to rumours that Cessna planned to develop more powerful, pressurised, and turboprop powered versions of the aircraft. <p>","https://www.airliners.net/aircraft-data/cessna-t303-crusader/155"
"Chichester-Miles Leopard","United Kingdom","High performance jet powered four seat light aircraft","Prototype - Two 1.33kN (300lb) Noel Penny NPT 301 turbofans. 2nd aircraft - Two 3.11kN (700lb) Williams International FJX turbofans. Production aircraft - Two Williams International FJX-2s.","Prototype aircraft - Max cruising speed 655km/h (354kt). Initial rate of climb 2350ft/min. Range with no reserves 1300km (700nm). Production aircraft (estimated) - Max speed 869km/h (469kt), max and economical cruising speed at 45,000ft 804km/h (434kt). Initial rate of climb 6430ft/min. Service ceiling 55,000ft. Range with max payload and reserves 2780km (1500nm), range with max fuel 3545km (1915nm).","Prototype - Basic empty 795kg (1750lb), max takeoff 1155kg (2550lb). Production aircraft (estimated) - Empty equipped 1000kg (2200lb), max takeoff 1815kg (4000lb).","Wing span 7.16m (23ft 6in), length 7.54m (24ft 9in), height 2.06m (6ft 9in). Wing area 5.9m2 (62.9sq ft).","Standard seating for four, but could alternatively be equipped for the medevac role with a pilot, stretcher patient and medical attendant.","Prototype and preproduction aircraft only built at the time of writing, with design of production aircraft continuing.","The sleek Leopard is arguably the most advanced high performance light aircraft yet designed and flown. <p>Despite this advancement, the Leopard dates back to the early 1980s when Ian ChichesterMiles, a former Chief Research Engineer at BAe Hatfield, established ChichesterMiles Consultants. CMC completed construction of a Leopard mockup in early 1982 and then contracted Designability Ltd to perform detail design work and build a prototype. <p>CMC originally hoped that the prototype Leopard would fly for the first time in early 1987, however various delays meant that it did not fly for the first time until December 12 1988. Since then development has progressed fairly slowly. <p>The program suffered a setback when the Leopard's engine supplier Noel Penny ceased trading, and all flying stopped while a preproduction aircraft powered by Williams International FJX turbofans was designed and built. This aircraft was displayed at the 1996 Farnborough Airshow and flew for the first time on April 9 1997. <p>Production Leopards will incorporate a number of advanced design features including all composite construction; supercritical, laminar flow, swept wings; liquid deicing and decontamination system along the wings and tailplane; and EFIS avionics (the prototype features simpler avionics and pressurisation systems and liquid deicing on the tailplane only). The preproduction Leopard incorporates most of these features bar the FJX-2 engines. The Leopard also does not feature spoilers or ailerons, instead roll, pitch and yaw control is provided by the all moving fin and differentially actuated tailplanes. <p>The first production standard Leopard is due to fly in 2000, with certification and production planned for 2002. <p>","https://www.airliners.net/aircraft-data/chichester-miles-leopard/165"
"Cirrus SR-20/22","United States of America","Four seat high performance light aircraft","SR-20 - One 150kW (200hp) Teledyne Continental IO-360-ES fuel injected flat six piston engine driving a two or three blade Hartzell propeller.
SR-22 - One 231kW (310hp) Teledyne Continental IO-550-N flat six piston engine driving a three blade Hartzell propeller.","SR-20 - Max cruising speed at 75% power 295km/h (160kt). Initial rate of climb 1000ft/min. Service ceiling 16,000ft. Range with reserves 1480km (800nm).","SR-20 - Standard empty 932kg (2050lbs), max takeoff 1315kg (2900lb).","SR-20 - Wing span 10.85m (35ft 7in), length 8.00m (26ft 3in), height 2.82m (9ft 3in). Wing area 12.6m2 (135.0sq ft).","Typical seating for four.","Over 600 orders placed by April 2001, with first deliveries due December 1998. Up to 100 to be delivered in 2000.","Cirrus Design Corporation's SR-20 is an all new, modern high performance four seat light aircraft. 

Cirrus began life as a designer and manufacturer of kit aircraft. The company's piston or turbine powered kit built VK-30 four seater in fact forms the basis of the SR-20 design, although the two aircraft are very different, particularly as the VK-30 features a pusher engine. The VK-30 first flew in February 1988 but kit production ceased in 1993 to allow Cirrus to relocate its manufacturing facilities to Duluth, Minnesota, and to concentrate on designing and manufacturing a family of fully certificated and factory built GA aircraft. 

Details of the SR-20 were publicly revealed at the Oshkosh EAA Convention in July 1994. What was revealed is one of the most advanced four seaters in production or under serious development. The SR-20 features composite construction, advanced avionics including a large colour multifunction display, side mounted control yokes and a 150kW (200hp) Teledyne Continental IO-360 flat six piston engine with a single lever operating both mixture and throttle. 

The SR-20 will also be fitted standard with a Ballistic Recovery System (BRS) parachute (a first for a certificated production aircraft), while various energy absorbing features have been designed into the airframe to reduce deceleration loads and increase its ability to absorb energy in the event of an impact. 

Apart from its high levels of technology, Cirrus claims that the SR-20 offers significant improvements over current four seaters in the areas of performance, interior cabin space and internal noise levels. The cockpit interior is based on modern automotive designs. 

The SR-20 prototype made its first flight on March 31 1995. Full FAA FAR Part 23 certification was awarded on October 23 1998, with first deliveries planned for that December (certification was delayed somewhat because Cirrus sought to lower the stall speed and improve lateral control). Cirrus aims to build up to 400 SR-20s a year once full production is achieved. 

A number of developments of the SR-20 have been considered including a more basic version optimised for flying training powered by a 120kW (160hp) engine.  In the fall of 2000, Cirrus Design received FAA certification for the 310 hp SR-22.  With a longer wingspan, increased payload and higher cruise speeds, it promises to fill a market niche for those desiring these attributes.","https://www.airliners.net/aircraft-data/cirrus-sr-2022/167"
"Commander 114B","United States of America","Four seat high performance light aircraft","114B - One 195kW (260hp) Textron Lycoming IO540T4B5 fuel injected flat six piston engine driving a three blade constant speed McCauley propeller. 114TC - One 200kW (270hp) turbocharged and fuel injected TIO-540-AG1A.","114B - Max speed 304km/h (164kt), cruising speed at 75% power 296km/h (160kt), economical cruising speed at 65% power 287km/h (155kt). Initial rate of climb 1070ft/min. Range at 75% power 1165km (630nm), range at 65% speed 1305km (705nm). Long range option 1640km (885nm). 114TC - Max speed 364km/h (197kt), cruising speed at 75% power 328km/h (177kt). Initial rate of climb 1050ft/min. Service ceiling 25,000ft. Range at 75% power 1240km (670nm), at 65% power 1445km (780nm).","114B - Empty 927kg (2044lb), max takeoff 1475kg (3250lb). 114TC - Empty 1018kg (2245lb), max takeoff 1500kg (3305lb)","Wing span 9.98m (32ft 9in), length 7.59m (24ft 11in), height 2.57m (8ft 5in). Wing area 14.1m2 (152sq ft).","Typical seating for four.","Production commenced in 1992, by late 1998 approximately 150 Commander 114Bs had been built. Production is running at around 15 units a year. Rockwell built over 1000 112s and 114s (described separately) for which Commander has service responsibility.","The Commander 114B is a new build, modernised development of the original Rockwell Commander 114. <p>The Rockwell Commander 114 was itself a more powerful development of the Commander 112 of 1970, one of only two new GA designs from Rockwell. Unfortunately for Rockwell, the 150kW (200hp) powered 112 was widely regarded as underpowered. To address concerns with the 112, Rockwell developed the 114 which incorporated a number of improvements plus most importantly a 195kW (260hp) six cylinder engine. <p>The 112 and 114 remained in production with Rockwell until 1979. In 1981 Rockwell's General Aviation Division was sold to Gulfstream Aerospace. Gulfstream held the manufacturing rights for the Commander family but never built the 112 or 114, instead selling the rights to the newly formed Commander Aircraft Company in 1988. <p>Under the Commander Aircraft Company's stewardship, the basic 114 design was improved and updated considerably. The main changes to the Commander 114B over the original 114 include a restyled engine cowling to reduce drag and other aerodynamic improvements, a quieter and more efficient three blade McCauley Black Mac propeller, and a new luxury leather and wool interior. <p>The revised Commander 114B was issued a new Type Certificate on May 4 1992 and production aircraft were delivered from later that year. <p>Apart from the 114B, Commander also offers the 114AT optimised for pilot training and the turbocharged 200kW (270hp) TIO540 powered 114TC, which entered service in 1995. A long range option for the 114B was announced in 1998. <p>","https://www.airliners.net/aircraft-data/commander-114b/168"
"Convair 240/340/440/540/580/600/640/5800","United States of America","Short haul commercial transports","240 - Two 1490kW (2000hp) Pratt & Whitney R-2800-CA18 Double Wasp piston radial engines driving three blade constant speed propellers. 
340 - Two 1790kW (2400hp) R-2800-CB16 Double Wasps. 
440 - Two 1865kW (2500hp) R-2800-CB16 or -CB17 Double Wasps.
580 - Two 2800kW (3750shp) Allison 501-D13H turboprops driving four blade constant speed propellers.
640 - Two 2255kW (3025hp) Rolls Royce R.Da.10/1 Darts. 
5800 - Two 3430kW (4600shp) Allison 501-D22Gs.","240 - Cruising speed 435km/h (235kt). Range with max fuel 2900km (1565nm). 
340 - Cruising speed 457km/h (247kt). Typical range with max payload 935km (505nm). 
440 - Max cruising speed 483km/h (261kt), economical cruising speed 465km/h (250kt). Service ceiling 24,900ft. Range with max payload 756km (408nm), range with max fuel 3106km (1677nm).
580 - Max cruising speed 550km/h (297kt) at 20,000ft. Range with 2270kg (5000lb) payload 3650km (1970nm), range with max fuel 4773km (2577nm). 
640 - Cruising speed 483km/h (260kt). Range with max payload 1979km (1069nm), range with max fuel 3138km (1695nm).","240 - Empty 12,520kg (27,600lb), max takeoff 18,956kg (41,790lb).
340 - Empty 13,375kg (29,486lb), max takeoff 21,320kg (47,000lb).
440 - Empty 15,110kg (33,314lb), max takeoff 22,544kg (49,700lb).
580 - Operating empty 13,732kg (30,275lb), max takeoff 26,371kg (58,140lb). 
640 - Operating empty 13,733kg (30,275lb), max takeoff 25,855kg (57,000lb). 
5800 - Operating empty 15,043kg (33,166lb), max takeoff 28,576kg (63,000lb).","240 - Wing span 27.97m (91ft 9in), length 22.76m (74ft 8in), height 8.20m (26ft 11in). Wing area 75.9m2 (817sq ft). 
340 - Wing span 32.12m (105ft 4in), length 24.13m (79ft 2in), height 8.58m (28ft 2in). Wing area 85.5m2 (920sq ft). 
440 - Same as CV-340 except for length 24.84m (81ft 6in).
580 - Wing span 32.12m (105ft 4in), length 24.84m (81ft 6in), height 8.89m (29ft 2in). Wing area 85.5m2 (920sq ft). 
5800 - Same except for length 29.18m (95ft 9in).","240 - Flightcrew of two or three. Passenger seating for up to 40, or a 4240kg (9350lb) payload.
340 - Flightcrew of two or three. Passenger seating for up to 52, or a 6075kg (13,391lb) payload. 
440 - Flightcrew of two or three. Passenger seating for up to 52, or a 5820kg (12,836lb) payload.
580 - Flightcrew of two or three. Passenger seating for up to 56 at four abreast and 76cm (30in) pitch.","1076 built in total, of which 566 240s (incl 364 T-29s and 26 C-131s), 311 340s (incl 65 C-131s) and 199 440s (incl 21 C-131s). Additionally 10 turboprop 540s were built by Canadair.
170 340s and 440s converted to 580s, 38 240s converted to 600s, 27 340s and 440s converted to 640s. 80 converted Convairs remained in commercial service in late 1998. In addition there have been four 5800 conversions, with a fifth currently under construction.","The Convair 240, 340 and 440 was one of the closest designs to come near to being a Douglas DC-3 replacement as despite a glut of cheap DC-3s in the postwar years this family of airliners achieved considerable sales success. 

Design of the original 110 was initiated in response to an American Airlines request for a DC-3 replacement. American found the 110 (which first flew on July 8 1946) to be too small and asked that the 110 be scaled up in size, and this resulted in the 240 ConvairLiner. The 240 was arguably the most advanced short haul airliner of its day, and first flew on March 16 1947 and entered service on June 1 1948. 

The success of the 240 led to the 1.37m (4ft 6in) stretched 340, which first flew on October 5 1951, and the improved 440 Metropolitan which incorporated extra cabin sound-proofing, new rectangular exhaust outlets, tighter engine cowlings, and some other aerodynamic improvements and first flew on October 6 1955. Most of the 440s were also delivered with weather radar in an elongated nose, which had been an option on the 340. 

The 240, 340 and 440 sold in large numbers, mainly to airlines in North America, and formed the backbone of many airlines' short to medium haul fleets. Today the small number of piston Convairs that remain in service are mainly used as freighters.

Many of the Convairs were also built for the US Air Force as the C-131 and T-29 in many versions, and for the US Navy as the R4Y which were redesignated too as C-131 in 1962. 

However, the original piston Convairs have been the subject of a number of turboprop modification programs, the line's inherent strength and reliability making it a popular choice for conversions.  

As early as 1950 the potential of turboprop powered 240s was recognised, leading to the first flight and development of the 240-21 Turboliner, while an Allison 501D powered YC-131C military conversion first flew on June 19 1954. One other early conversion occurred in 1954 when D Napier and Sons in Britain converted 340s with that company's 2280kW (3060hp) Eland N.El.1 turboprops as the 540. Six such aircraft were converted for Allegheny Airlines in the USA, although these aircraft were later converted back to piston power. Canadair meanwhile built 10 new aircraft with Eland engines as the CL-66 for the Royal Canadian Air Force, where they were designated CC-109 Cosmopolitan. 

The most popular Convair conversions were those done by PacAero in California for Allison, and this involved converting 340s and 440s to 580s with Allison 501D turboprops, plus modified tail control surfaces and a larger tail area. The first such conversion flew on January 19 1960, although it was not until June 1964 that a converted aircraft entered service. 

Convair's own conversion program involved Rolls Royce Darts, and the first of these flew on May 2 1965. Thus converted 240s became 600s, while 340s and 440s became 640s. 

Super 580 Aircraft Company, a division of Flight Trails Inc., replaced the Allison 501-D13D engines by -D22Gs and incorporated some further improvements on two or three 580s which were redesignated Super 580.

Kelowna Flightcraft in Canada however has offered the most ambitious Convair conversion program, the 5800, having stretched the 580 by 4.34m (14ft 3in) and reverting to the 440's original tail unit. Production conversions have a new freight door and digital avionics with EFIS.

Most of the remaining Convairs are now used as cargo transports.","https://www.airliners.net/aircraft-data/convair-2403404405405806006405800/169"
