Model_ID,Seating_Config,Cargo_Vol,Configurations
dassaultmystrefalcon10100,"Flightcrew of two on flightdeck. Main cabin is typically configured to seat four in an executive club seating arrangement. Main cabin can seat up to seven in Falcon 10 or eight in Falcon 100 in a high density layout. Can be configured for air ambulance, aerial photography and navaid calibration missions.",,
dassaultmystrefalcon20200,"Flightcrew of two. Typical main cabin seating for between eight and 10 passengers, optionally for as many as 14 in a high density configuration.",,
dehavillandcanadadash7,"Flightcrew of two. Max seating for 54 at four abreast and 74cm (29in) pitch, 50 passengers at 81cm (32in) pitch. In freighter configuration can carry five standard pallets.",,
dehavillandcanadadhc1chipmunk,Seating for two in tandem. Two were modified for crop spraying and fitted with a chemical hopper in place of the front cockpit.,,
dehavillandcanadadhc3otter,"Flightcrew of one or two. Normal main cabin seating for nine passengers, max seating for 10. As an aerial ambulance can carry six stretchers and four passengers or three stretchers and seven passengers.",,
dehavillandcanadadhc4caribou,"Flightcrew of two. Can carry almost four tonnes (8000lb) of cargo in freighter configuration, or seat approximately 30 passengers.",,
dehavillandcanadadhc6twinotter,"Flightcrew of two. Standard regional airliner interior seats 20 at three abreast and 76cm (30in) pitch. Can be configured as an executive transport, freighter, aerial ambulance and survey aircraft.",,
dehavillandcanadadhc8100200dash8,"Flightcrew of two. Typical passenger seating for 37 at four abreast and 79cm (31in) pitch, max seating for 40.",,
dehavillandcanadadhc8300dash8,Flightcrew of two. Standard single class seating for 50 passengers at four abreast and 81cm (32in) pitch.,,
dehavillandcanadadhc8400dash8,Flightcrew of two. Can seat 70 passengers at 79cm (31in) pitch or 78 at 76cm (30in) pitch in a single class arrangement.,,
dehavillandcanadadhc2beaver,Standard seating for eight including the pilot. The `AgBeaver' is fitted with a 0.99m3 (35cu ft) chemical hopper.,,
dehavillanddh104dove,"Flightcrew of two pilots. Main cabin seating for eight passengers, max cabin seating for 11 in a modified cabin arrangement.",,
dehavillanddh114heron,Flightcrew of two. Typical main cabin seating for 14 at two abreast with a central aisle. Alternative seating for 15 or 17. Executive versions with seating for eight.,,
dehavillanddh82tigermoth,Seating for two in tandem open cockpits. Flown solo from rear cockpit due to weight and balance considerations.,,
diamondda40diamondstar,Standard seating for four.,,
diamondda42twinstar,Standard seating for four.,,
dornier228,Flightcrew of two. 100 - Typical passenger seating for 15. 212 - Typical passenger seating for 19 at two abreast and 76cm (30in) pitch. 228212 based 228 Cargo has a max payload of 2340kg (5159lb). 212 based ambulance accommodates six stretchers and up to nine attendants or passengers.,,
dornier328,"Flightcrew of two. Typical passenger seating for 30 to 33 at three abreast, max seating for 39 at four abreast.",,
dornierdo27,Pilot and passenger side by side with between four and six passengers behind them. Can carry freight with rear seats removed.,,
dornierdo28128,One or two pilots on flightdeck and seating in main cabin for 10 or 12 seats two abreast with a centre aisle.,,
douglasdc3,Flightcrew of two. Seating for between 28 and 32 passengers at four abreast or 21 three abreast.,,
douglasdc4,"Flightcrew of three, standard passenger seating for 44, max seating for 86. Most surviving aircraft configured as freighters.",,
douglasdc6,"DC-6 - Flightcrew of three or four. Passenger accommodation typically for between 48 to 56, but most aircraft now usually equipped to carry freight. 
DC-6B - Typical passenger seating for 54, with max seating for 102, but now usually configured for freight.",,
douglasdc7,"Flightcrew of three. In passenger configurations most standard length DC-7s seated 99 in a high density single class layout, stretched DC-7Cs seated up to 105 passengers. Capacity of DC-7F conversion of the DC-7B is 15,700kg (34,600lb).",,
douglasdc81020304050,"Flightcrew of three. Mixed class seating for 132, typical all economy seating for 144, or up to 179 in high density single class layout. A number of aircraft are converted for VIP/executive use. Freighter versions can carry approximately 15 tonnes (34,000lb) of cargo consisting of pallets or containers.",,
douglasdc86070,"Flightcrew of three. Max seating capacity 259 or standard seating for between 180 and 220 in Series 61, 63, 71 & 73. Super 62 & 72 standard seating for 189. Super 60 and 70 freighters payload between 40,405kg (89,000lb) and 49,585kg (109,217lb).",,
ehindustrieseh101,Flightcrew of two. Main cabin seating for 30 at four abreast and 76cm (30in) pitch. Equipped with galley and toilet.,,
embraeremb110bandeirante,"Flightcrew of two. Typical passenger seating for 18 at three abreast, max seating for 21 at 74cm (29in) pitch.",,
embraeremb120brasilia,Flightcrew of two. Standard main cabin seating for 30 at three abreast and 79cm (31in) pitch. Optional passenger seating for 24 or 26 with greater baggage/cargo space. Alternative interior arrangements for executive and cargo roles.,,
embraeremb121xingu,"Xingu I - Flightcrew of one or two, plus typical main cabin seating for five or six passengers. Xingu II - Flightcrew of two. Main cabin seating for seven, eight or nine passengers, depending on customer preference.",,
embraererj135140legacy,"Flightcrew of two. 
ERJ-135 - Standard seating for 37 passengers at three abreast.
ERJ-140 - Standard seating for 44 passengers at three abreast.",,
embraererj145,Flightcrew of two. Standard passenger accommodation for 50 at three abreast and 79cm (31in) pitch. Alternative seating for 48 or 49 with wardrobe fitted.,,
embraererj170175190195,"Flightcrew of two.
ERJ-170 - Standard seating for 70 at four abreast.
ERJ-175 - Standard seating for 78.
ERJ-190 - Standard seating for 98.
ERJ-195 - Standard seating for 108.",,
enstromf28280480,"Three seats in the F-28 and 280, five seats in 480. Can also be fitted with agricultural spraying gear.",,
ercoercoupeandderivatives,Seating for two side-by-side.,,
eurocopteras332superpuma,"Flightcrew of one (VFR ops), or two (IFR ops) pilots. AS 332 seating for 17, AS 332L and AS 332L2 max seating for 24.",,
eurocopteras350ecureuil,"Standard seating for six, including two forward seats and a four place rear bench seat.",,
eurocopteras355ecureuil2,"Standard seating for six, including two forward seats and a four place rear bench seat. Can be configured for police, ambulance, EMS and media missions.",,
eurocopteras365ndauphin2ec155,"One pilot (VFR) or two pilots (IFR), and max seating for 13 passengers (with one pilot). Standard passenger seating for eight or nine. 
EC-155 - Standard seating for 14 including one or two pilots.",,
eurocopterbo105ecsuperfive,"Total seating for five, including two pilots or one pilot and passenger in front bucket seats, and three passengers on rear bench seat. Behind rear seats and below the engine is a freight/baggage compartment, accessible by two clamshell doors in the rear of the fuselage.",,
eurocopterec120colibri,"Typical seating for five, with pilot and passenger side by side with three passengers on rear bench seat. Could be configured for special missions roles. Max sling load 700kg (1543lb).",,
eurocopterec135635,"Designed for single pilot operation. Alternative cabin layouts are for five (two forward & three rear) or seven (two + three + two) in passenger roles. Alternative EMS layouts for one stretcher, three medical attendants and the pilot, or two stretchers, two attendants and pilot. Stretchers loaded through rear freight door.",,
eurocopterkawasakibk117,"One pilot and max seating for 10 passengers. Executive configuration seats six, standard MBB/Eurocopter configuration seats seven, standard Kawasaki version seats nine. Can be equipped for search and rescue, EMS and police work with various appropriate internal configurations.",,
extra230300200,"300 and 200 seat two, 230 and 300S seat pilot only.",,
fairchildaerospacemetroiiiii23,Flightcrew of two. Passenger seating for 19 at two abreast and 76cm (30in) pitch. Merlin IV and 23 also seat 12 to 14 passengers in a corporate configuration. The Expediter I and 23 are freighters.,,
fairchilddornier328jet,"Flightcrew of two. Standard seating for 32 to 34 passengers three abreast at 79cm (31in). 
Envoy 3 seats 12 to 14 in a typical corporate configuration, or up to 19.",,
fairchilddornier728,"Flightcrew of two, cabin crew of two. 728 - typical seating for 70 to 85 passengers at five abreast.
528 - 55-65 passengers.
928 - 95 to 110 passengers.
Envoy 7 - two flightcrew, one flight attendant, and 14-18 passenger seats.",,
fairchildswearingenmerlin,"IIB - Flightcrew of one or two, with typical main cabin seating for six in executive layout or up to eight. III - Seating in main cabin for up to 11, or eight in a corporate configuration. Merlin IV seats up to 12 passengers in main cabin in a corporate configuration.",,
ffaas202bravo,"Two pilots side by side, plus one passenger in rear.",,
fokker100,"Flightcrew of two. Max single class high density seating for 122. Standard single class seating for 107 at five abreast and 81cm (32in) pitch. Two class seating for 12 first class passengers at four abreast and 91cm (36in) pitch, and 85 economy class passengers; or 55 business class at five abreast and 86cm (34in) pitch, and 50 economy class pax. Fokker 100QC Quick Change max payload of 11,500kg (25,353lb), comprising five LD9/LD7 containers and one half size container, or up to 11 LD3 containers.",,
fokker50,Flightcrew of two. Standard seating for 50 at four abreast and 81cm (32in) pitch. Max high density seating for 58. Available with convertible passenger/freight configurations.,,
fokker70,Flightcrew of two. Standard single class passenger accommodation for 79 at five abreast at 81cm (32in) pitch. Fokker Executive Jet 70 interiors were fitted to customer requirements.,,
fokkerf27fairchildf27fh227,"Flightcrew of two. Seating for 44 at four abreast and 76cm (30in) pitch in original fuselage length versions (Mks 100, 200, 300, 400, 600 & F-27). Standard seating for 52 and max seating for 60 at 72cm (28.5in) pitch in Mk 500. FH-227 seats 52 at 79cm (31in) pitch, or a maximum of 56.",,
fokkerf28fellowship,"Flightcrew of two. Max seating for 85 at five abreast and 74cm (29in) pitch in Mk 4000, or 65 in Mk 3000. Mk 3000 offered with a 15 seat executive interior.",,
fujifa200aerosubaru,Typical seating for four.,,
gafn22n24nomad,Accommodation for two pilots although certificated for single pilot operation. Seating in main cabin at two abreast for 12 (N22) or 16 (N24). Searchmaster B patrol aircraft is fitted with a Bendix RDR 1400 search radar and has a normal crew of four. The more sophisticated Searchmaster L has a Litton LASR (AN/APS504) search radar with 360 degree coverage in an undernose radar.,,
gippslandga200fatman,Seating for two side-by-side. Hopper capacity 800 litres (211US gal/176Imp gal).,,
gippslandga8airvan,Single pilot and passenger side-by-side with up to six passengers in the main cabin behind them. Main cabin can also configured to carry freight.,,
grobg115,Standard seating for two.,,
grobgf200,"GF 200 standard seating for four with bizjet style leather seats and interior. GF 200/6 to seat six, GF 300 to seat six, and GF 350 to seat six to eight.",,
grummanamericanaa1,Typical seating for two.,,
grummanamericanaa5,Standard seating for four.,,
grummang1159gulfstreamiiiii,"Flightcrew of two. Main cabin seating for up to 19 in G-II or 21 in G-III in a high density configuration, or eight to 12 in a typical corporate configuration.",,
grummang159gulfstreami,"I - Flightcrew of two. Typical corporate layouts seat between 10 and 14 passengers. Commuter airliner seating for 19 or high density seating for up to 24. 
IC - Flightcrew of two. Seating for between 32 and 38 at three abreast.",,
grummang164agcat,Usually pilot only. Hopper capacity 1514 litres (400US gal/333Imp gal). Some converted with a second cockpit for joyflights.,,
grummang21goose,"Flightcrew of two. Main cabin passenger seating for six or seven in piston engined Goose, TurboGoose seats up to 12.",,
grummang44widgeon,"Maximum accommodation for six, including pilot.",,
grummang64111albatross,Flightcrew of two. G-111 civil conversion seats 28 passengers in main cabin at 81cm (32in) pitch.,,
grummang73mallard,Crew of two. Main cabin seating for up to 10 passengers. Many aircraft used as executive transports with customised interiors.,,
gulfstreamaerospacegivgulfstreamiv,"Flightcrew of two. Main cabin seating for between 14 and 19, plus flight attendant. 
SRA-4 special missions version can also be configured for freight work.",,
gulfstreamaerospacegvgulfstreamv,"Flightcrew of two. Typical passenger load of eight but seats 15 to 19. Typically equipped with a crew rest room, a business work station with Satcom, computer and fax, a dining/conference area with seating for four, a three seat couch that converts into a bed, five other reclining seats, two galleys and a restroom fitted with a toilet and shower.",,
gulfstreamaerospacejetpropturbocommander,Pilot and passenger or copilot on flightdeck. Main cabin seating for six to eight. Jetprop 1000 can seat 10 in main cabin.,,
handleypageherald,"Flightcrew of two. Series 100 max passenger seating for 47, series 200 max seating for 56. Last survivor configured for freight work, series 200 max payload 5100kg (11,240lb).",,
harbiny1112,"Flightcrew of two. Main cabin seats six to eight passengers in Y-11. Y-12 can seat up to 17 at three abreast and 75cm (30in) pitch in Y-12-II, and 19 in Y-12-IV.",,
hawkersiddeleyhs125123400600,Flightcrew of two. Various optional interior configurations offered depending on customer preference. Max main cabin seating for 12 in Srs 400 or 14 in Srs 600.,,
hawkersiddeleyhs748,"Flightcrew of two. Typical seating for between 48 and 51 passengers, at four abreast and 76cm (30in) pitch. Max seating for 58.",,
heliocourier,"Early models up to the H250 could seat four, the H395 five or six, the H250 and subsequent models six.",,
hilleruh12,"Seating for three on a bench seat, or for four (two forward and two behind) in UH12E4 and 12E4T.",,
hindustanadvancedlighthelicopter,"Flightcrew of two. Main cabin seating for 10 to 14, depending on configuration. Max external sling load army variant 1000kg (2205lb), naval variant 1500kg (3307lb).",,
hondaha420hondajet,"Two crew plus four passengers, or one crew plus five passengers.",,
iaiarava,"Flightcrew of two. Seating for 19 passengers four abreast in an airline configuration in 101B, 20 in 102 and 24 in 201. 201 can carry 2350kg (5184lb) of freight. 102 can carry up to 12 passengers in an executive configuration, other configurations offered include aerial ambulance, mapping and mineral exploration.",,
iaiwestwind,"Flightcrew of two. Standard seating for seven in typical corporate layout, max seating for 10. Many configured as freighters.",,
ilyushinil103,"Seating for four or five, with rear bench seat for either two or three.",,
ilyushinil114,Flightcrew of two. Seating for 64 at four abreast and 75cm (30in) pitch.,,
ilyushinil14,"Standard passenger seating in Il-14P for 18 or 24, and 24 or up to 36 in Il-14M. Il-14G and Il-14T are freighters.",,
ilyushinil18,"Flightcrew of five comprising two pilots, flight engineer, navigator and radio operator. Initial Il-18s seated 75, the Il-18B 84, Il-18C 90 to 100, Il-18D and Il-18E 110 or max 122.",,
ilyushinil62,"Flightcrew of five comprising two pilots, flight engineer, navigator and radio operator. Max seating for 174 in Il-62M, 186 in Il-62 and 195 in Il-62MK at six abreast in two cabins. Alternative configurations include 114 at five abreast, or 85 first class passengers.",,
ilyushinil76,"Flightcrew of five including two pilots, flight engineer, navigator and radio operator, plus two freight handlers. Il-76MP firefighting conversion can carry 44 tonnes (97,000lb) of fire retardant in two tanks.",,
ilyushinil86,"Flightcrew of three comprising two pilots and flight engineer, with provision for a navigator. Max seating for 350 at nine abreast. Mixed two class seating for 234 comprising 28 six abreast in forward cabin and 206 eight abreast in other two cabins. Lower deck freight holds can accommodate up to 16 standard LD3 containers if some lower deck carry on baggage racks are omitted.",,
ilyushinil96300,"Flightcrew of three, comprising two pilots and flight engineer. Basic single class seating for 300 at nine abreast in two cabins. Three class arrangement seats 235 comprising 22 first class at six abreast and 102cm (40in) pitch, 40 business class at eight abreast and 90cm (35in) pitch, and 173 economy class at nine abreast and 87cm (34in) pitch. Forward lower freight hold accommodates six LD3 containers or pallets (9000kg/19,840lb), rear hold accommodates 10 LD3s or pallets (15,000kg/33,070lb).",,
ilyushinil96mil96t,"Flightcrew of two. Three class seating for 18 first class passengers at 152cm (60in) pitch, 44 business class at 92cm (36in) pitch and 250 economy class at 86cm (34in) pitch. Two class seating for 85 business class and 250 economy class passengers. Single class seating for 375 passengers in three separated cabins seating 124, 162 and 89. Underfloor freight holds can accommodate up to 32 standard LD3 containers. Il-96T Freighter can carry max payload of 92 tonnes (202,820lb) with international standard containers or pallets.",,
iptnn250,"Flightcrew of two. Typical accommodation in N25050 for 50 to 54. N250100 will seat up to 62 to 64 passengers at four abreast at 81cm (32in) pitch, 68 at 76cm (30in) pitch, or 60 at 81cm (32in) with optional extra cargo.",,
israeliai1125astragulfstreamg100,"Flightcrew of two. Typical executive seating for six passengers, with max seating for nine.",,
israeliai1126galaxygulfstreamg200,"Flightcrew of two. Seating for eight or more in executive style arrangements, or up to 18 in a three abreast corporate shuttle configuration.",,
kamank1200kmax,Accommodates pilot only but certificated with fuselage side mounted external seats (one either side). Designed to lift external loads such as Bambi firefighting buckets. The K-Max's maximum hook lifting capability is 2720kg (6000lb).,,
kamovka26ka226,Ka-26 - Seating for eight including one pilot and passenger separated from modular main cabin which seats six. For agwork can be fitted with a 900kg (1985lb) capacity hopper and spraybars in place of cabin. In air ambulance configuration can accommodate two stretchers and three seated casualties or medical attendants. For freight work it can carry a sling load or be operated with an open platform in place of the cabin module.,,
kamovka32,"Pilot and navigator on flightdeck. Main cabin seats 16 passengers, or can be configured for freight carriage or as an air ambulance. Max internal payload is 4000kg (8820lb), max sling load weight is 5000kg (11,025lb).",,
kestrelk250,K250A - Typical seating for four. K250D - Seating for six or freight.,,
lakela4buccaneerrenegade,Normal seating for four in LA4 and Buccaneer; Renegade and Turbo Renegade seat six.,,
lancairlc40columbia300350400,Standard seating for four.,,
learjet2324252829,"23/24 - Flightcrew of two. Max seating in main cabin for six, typical seating for four. 
25/28 - Flightcrew of two. Main cabin seating for up to eight passengers. 
29 - Flightcrew of two and seating for six passengers.",,
learjet313536,"Flightcrew of two. Seating for up to eight in main cabin in 35 and 31, or up to six in 36A. Some aircraft configured as package freighters.",,
letl200morava,"Typical accommodation for four or five, with pilot and passenger in individual seats and two or three passengers on rear bench seat.",,
letl40metasokol,Initial production aircraft had seating for three with a single passenger seated behind pilot and passenger. Late production had seating for four.,,
letl410l420,"Flightcrew of two. Typical commuter passenger seating for 17 or 19 at three abreast. Executive version seats 15 plus flight attendant. Cargo version equipped to handle special containers. Air ambulance version configured for six stretcher patients and six sitting passengers, either injured or medical attendants.",,
letl610,"Flightcrew of two. Standard seating for 40 passengers at three abreast and 76cm (30in) pitch. Combi mixed passenger/freight and all freight layouts available, the latter can carry six pallets.",,
lockheedjetstar,Flightcrew of two. Typical seating for eight to 10 passengers.,,
lockheedl100hercules,"L-100-30 - Flightcrew of three or four. Max payload of 23,158kg (51,054lb) comprising pallets or containers.",,
lockheedl1011tristar150100150200250,"Flightcrew of three. Max seating for 400 in an all economy configuration at 10 abreast and 76cm (30in) pitch. Typical two class seating for 256, with six abreast premium class seating and nine abreast in economy. Underfloor holds can accommodate 16 standard LD3 containers.",,
lockheedl1011tristar500,Flightcrew of three. Max seating for 330 in a single class 10 abreast layout at 76cm (30in) pitch. Typical two class seating for 24 premium class at six abreast and 222 economy at nine abreast. Underfloor cargo holds can accommodate 19 standard LD3 freight containers.,,
lockheedl188electra,"Flightcrew of three. Single class seating for up to 104 passengers. Most aircraft now configured as freighters, max payload weight is approximately 12 tonnes (26,000lb).",,
luscombemodel8silvaire,Seating for two side by side,,
luscombespartan,Standard seating for four.,,
maulem4tom7,"Standard seating for four, M-7-235 has seats for five.",,
mcdonnelldouglasdc10boeingmd10,"Flightcrew of three. Max seating for 380 passengers at nine abreast and 81cm (32in) pitch. Mixed class seating arrangements vary between 250 and 270. 
DC-10-30F - 23 pallets on main deck.",,
mcdonnelldouglasdc9102030,"Flightcrew of two. 
10 - Seating for 80 in a single class at five abreast and 86cm (34in) pitch. Max seating for 90. 
30 - Max seating for 115 in a single class, five abreast and 81cm (32in) pitch, standard single class seating for 105.
30CF - can carry over eight cargo pallets.",,
mcdonnelldouglasdc94050,"Flightcrew of two. 
40 - Seating for up to 125 passengers at five abreast. 
50 - Seating up to 139 passengers at five abreast and 79cm (31in) pitch.",,
mcdonnelldouglasmd11,"Flightcrew of two. 
MD-11 - Max single class seating for 410, can seat 298 in three classes, 323 in two. 
MD-11C - Two class seating for 204 and four pallets on main deck.",,
mcdonnelldouglasmd81828388,"Flightcrew of two. Max seating for 172. Typical two class seating for 142, comprising 14 premium and 128 economy class pax.",,
mcdonnelldouglasmd87,"Flightcrew of two. Max single-class seating for 139. Typical two class seating for 109, comprising 12 premium and 97 economy class pax.",,
mcdonnelldouglasmd90,"Flightcrew of two. Two class seating for 12 premium class and 141 economy class passengers in MD-90-30, or max single class seating for 172. MD-90-55 max single class seating for 187.",,
mdhelicoptersmd500530,"Typical seating for five, two in front bucket seats including pilot, and three on rear bench seat. Alternatively can accommodate two stretchers and medical attendant, plus pilot.",,
mdhelicoptersmd520n,"Standard seating for pilot and four passengers, with pilot and passenger on front bucket seats, and three passengers on rear bench seat.",,
mdhelicoptersmd600n,"Typical seating for eight, with pilot and passenger on bucket seats, and two bench seats for three people each in the main cabin.",,
milmi26,"Flightcrew of four comprising two pilots, flight engineer and navigator, plus loadmaster. Four seat passenger compartment behind flightdeck. Main cabin typically accommodates freight (max payload 20 tonnes/44,090lb), but can seat 63 passengers at four abreast. Firefighting version can carry 7500 litres (1650Imp gal/1980US gal) of fire retardant. Medical version comprehensively equipped with operating theatre and accommodation for stretcher patients and medical attendants.",,
milmi34,"Typical seating for four, including one pilot. Mi-34 VAZ can accommodate stretcher in rear cabin instead of seats.",,
milmi817,"Flightcrew of two, with provision for flight engineer. Primarily used for freight transport, internal and/or with external sling loads. Can carry up to 32 passengers in Mi-8, or 24 in Mi-8T. Mi-8 Salon executive version seats 11 passengers. As air ambulance can accommodate 12 stretchers.",,
millicerm10airtourer,Seating for two side by side.,,
mitsubishimu2,"Flightcrew of one or two. Short fuselage models had typical seating for seven in main cabin, longer fuselage models up to 11. Many aircraft in various corporate configurations, or used as freighters.",,
mooneym20tom20g,Typical seating for four.,,
mooneym20jtom20s,Standard seating for four.,,
namcys11,Flightcrew of two. Typical single class seating in main cabin for 60 at four abreast and 86cm (34in) pitch. The combi YS11A300 accommodates freight in the forward portion of the main cabin with seating for 46 behind that.,,
noorduynnorseman,V - Pilot and up to nine passengers on bench seats. Often configured for freight.,,
northamericanrockwell100darterlarkcommander,Typical seating for four.,,
northamericanryannavion,"North American and Ryan Navions typically seat four, while Navion Rangemasters typically seat pilot and four passengers.",,
pacificaerospacect4airtrainer,"Normally two seats side by side, with space for optional third seat or baggage behind.",,
pacificaerospacefletcherfu24cresco,"Typical arrangement seats pilot and passenger, and chemical hopper (capacity 1210 litres/265Imp gal/319US gal in FU-24-954, 1770 litre/391Imp gal/470US gal in Cresco). Can also be configured for freight work, or as a passenger aircraft can seat six in rear compartment (earlier models can seat five or six passengers).",,
partenaviap68,"Standard seating arrangement for seven, comprising one pilot and six passengers, or two pilots and five passengers.",,
piaggiop166,Flightcrew of one or two and standard seating for eight or nine in main cabin in airliner configuration. Max seating for 12 in P-166C. Executive configuration seats five or six with toilet and bar. Air ambulance can carry two stretchers and two medical attendants.,,
piaggiop180avanti,Flightcrew of one or two (certificated for single pilot operation). Max seating in main cabin for nine in high density airliner configuration. Standard seating for seven in individual seats. Executive/VIP seating for five.,,
pilatuspc12,Flightcrew of one or two pilots (certificated for single pilot). Seating for nine in main cabin in regional airliner configuration. Corporate/executive transport configurations typically seat six in main cabin. Combi passenger/freight version seats four passengers in main cabin plus freight pallet.,,
pilatuspc6porterturboporter,"Pilot and passenger on flightdeck, with standard seating for six in main cabin. Max seating for 11 including pilot. Alternative layouts include two stretchers and three medical attendants, or 10 skydivers. Some equipped for agricultural spraying.",,
pipercub,"Typical seating for two in tandem in the J-2 and J-3 Cub, J-4 Cub Coupe and PA-11 Cub Special, three in the J-5 Cub Cruiser and PA-12 Super Cruiser, and four in the PA-14 Family Cruiser.",,
piperpa18supercub,Typical seating for two in tandem.,,
piperpa2022pacertripacercaribbeancolt,"Pacer and Tri-Pacers (including Caribbean) typically seat four, while the Colt seats two side by side. Seaplane versions of the Tri-Pacer could seat three.",,
piperpa23apacheaztec,"Apache seats four. Aztec first model seats five, later Aztecs seat six.",,
piperpa24comanche,"Standard seating for four, Comanche B and C could have optional fifth and sixth seats.",,
piperpa25pawnee,"Seating for pilot only, but can be fitted with an optional jump seat. 
PA-25-235 - Hopper capacity 568 litres (150US gal/125Imp gal), or 545kg (1200lb).",,
piperpa28cherokeeseries,"Seating for four, two in some dedicated trainer versions.",,
piperpa28rcherokeearrow,Typical seating for four.,,
piperpa3039twincomanche,"Typical seating for four, including pilot in Twin Comanche. Up to six including pilot in Twin Comanche B.",,
piperpa31chieftainmojavet1020t1040,"Standard seating in Mojave for seven, including one pilot and passenger, or two pilots on flightdeck, with seating for five behind them. Chieftain has max seating for 10.",,
piperpa31navajopressurizednavajo,"Configured to seat six (including pilot) in standard and executive layouts, and eight in commuter layout.",,
piperpa31tcheyenne,"Cheyenne II, I, IA, and IIXL typically seat six, including pilot, or optionally eight.",,
piperpa32cherokeesixlancesaratoga,"Standard seating for six, some with an optional seventh seat.",,
piperpa34seneca,Seating for six in all but Seneca V which seats five or optionally six.,,
piperpa36pawneebrave,"Seating for pilot only, but can be fitted with an optional jump seat. 
PA-36-375 - Hopper capacity 1041 litres (275US gal/229Imp gal), or 1000kg (2200lb).",,
piperpa38tomahawk,Seating for two side by side.,,
piperpa42cheyenneiii400,"One or two pilots on flightdeck, with main cabin seating for between six and nine passengers. Typical seating for six in main cabin in corporate configuration.",,
piperpa44seminole,Typical seating for four.,,
piperpa46malibumeridian,"Typical seating for pilot and five passengers. Pilot and four passengers with optional entertainment/refreshment console with drinks cooler, storage and VCR and flat panel monitor.",,
piperpa46malibumalibumirage,Typical seating for pilot and five passengers.,,
piperpa60aerostar,Typical seating for six.,,
pittss12special,"S-1 series seats pilot only. 
S-2 series seats two, except for S-2S which seats pilot only.",,
pzlmielecm18dromader,"M-18 seats pilot only.
M-18A has second seat for a ground loader or mechanic behind the pilot.
M-18AS and BS have a second cockpit with instrumentation for an instructor. 
M-18B hopper capacity of 2500 litres (550Imp gal/660US gal) of liquid or 2200kg (4850lb) of dry chemicals.",,
pzlokeciepzl110111koliber,Typical seating for four.,,
pzlswidnikmilmi2kania,"Mi2 - Two pilots or one pilot and passenger on flightdeck, and main cabin seating for seven. Ambulance configurations can accommodate four stretchers and one medical attendant or two stretchers and two attendants. Kania - Pilot and eight passengers in passenger configuration, pilot and five passengers in corporate configuration. Two stretchers, one seated patient and two medical attendants in ambulance configuration. Ag version capacity 1000kg (2205lb) of chemicals.",,
pzlswidniksw4,Standard seating for four or five (including pilot). In medevac configuration accommodation for one stretcher patient and two medical attendants. Max sling load 750kg (1655lb).,,
pzlswidnikw3sokol,"Two pilots or pilot and flight engineer or passenger on flightdeck. Main cabin seating for 12 in passenger configuration, or three medical attendants and eight rescued survivors in SAR Anaconda version, or four stretchers and medical attendant in ambulance configuration, one stretcher and medical attendants in critical care EMS version, or five/six passengers in executive configuration. Can carry a 2100kg (4630lb) sling load.",,
pzlwarszawaokeciepzl104wilga,Typical seating for four including pilot. Rear two seats can be replaced with fuel tank. Ambulance configuration accommodates two stretchers and medical attendants.,,
raytheon390premieri,One or two pilots on flightdeck (will be certificated for single pilot). Main cabin seats six in standard configuration with four seats in a club arrangement and two seats behind them. Toilet in rear fuselage. Baggage compartments in nose and tail.,,
raytheon90100kingair,"90 - Typical seating for six, max seating for eight. 
100 - Six to eight in corporate configuration, or max seating for 13.",,
raytheonbeechcraft1900,"Flightcrew of two. Standard passenger accommodation for 19 at two abreast. ExecLiner configurations range for between 10 to 18, depending on customer requirements.",,
raytheonbeechcraftbaron,"Models 55 and 56 had standard seating for four, with some models offering an optional fifth seat. Model 58 has optional fifth and sixth seats.",,
raytheonbeechcraftbonanza,"All Model 33s seat four with some models having an optional fifth seat, all Model 36s seat six.",,
raytheonbeechcraftkingair200,"Flightcrew of one or two. Accommodation for a maximum of 13 passengers in main cabin, plus a further passenger beside the pilot on flightdeck. Typical corporate seating layout for six in main cabin.",,
raytheonbeechcraftkingair300350,"300 - One or two pilots on flightdeck, with standard layout for six passengers in main cabin. Alternative high density seating for 15 (including pilot). 350 - Typical passenger seating for eight in main cabin, optional seating for an extra two, plus one in toilet compartment and one on flightdeck next to the pilot, making a total of 13.",,
raytheonbeechjet400,"Flightcrew of two pilots, with standard passenger arrangement in main cabin for six with a entertainment/executive console, or seven without (plus provision for an eighth passenger in toilet compartment with seat belt installed).",,
raytheonhawker1000,"Flightcrew of two. Standard main cabin seating for eight comprising club seating for four at the front of the cabin, a three seat couch and a single seat. Max seating for 15.",,
raytheonhawker800britishaerospacehs125700,"Flightcrew of two. Typical seating for eight passengers in corporate layout, or max seating for 14.",,
raytheonhawkerhorizon,"Flightcrew of two. Typical main cabin layout will seat eight, with a toilet in the aft fuselage.",,
republicrc3seabee,Typical seating for four.,,
robindr400500,"DR-400-120 seats two adults and two children, most other DR-400 models typically seat four adults.",,
robinhr200r2000alpha,Typical seating for two side by side.,,
robinr3000,"Seating for two in R 3000/100, three in R 3000/120 and four in R 2000/140 and R 3000/160.",,
robinsonr44,"Typical seating for four, with two passengers on bench seat behind pilot and passenger.",,
robinsonr22,"Typical seating for two, side by side. R22 Agricultural is fitted with a 150 litre (33Imp gal) capacity chemical tank.",,
rockwell500520560680685720commander,"Seating in standard length Commanders for five to seven, including one pilot. Stretched Grand Commander seats up to 11.",,
