Model_ID,Development_Story,Milestones,Status
boeing707,"The 707's jet speed, long range, high seating capacity and operating economics revolutionised airliner travel when it was introduced into service in 1958. The 707 also laid the foundations for Boeing's dominance of the jet airliner market. 

Recognising the jet engine's potential for commercial aviation, Boeing (at great financial risk) decided to develop a jet powered transport that could fulfil military tanker transport roles but be easily adapted to become an airliner.  The resulting prototype, known as the 367 Dash 80, flew for the first time on July 16 1954. Impressed, the US Air Force ordered a larger version, with a wider fuselage (12 ft, vs 11 ft for the Dash 80) into production as the KC-135 tanker/transport (more than 800 were built).  At first, Boeing wanted to sell the same size aircraft to the airlines, but the airlines insisted on an even larger airplane, which Douglas promised to build (this became the DC-8).  Boeing finally relented, designing the 707 as a longer aircraft with a slightly wider fuselage (12 ft 4 in).

The first production 707 (a 707-120 for Pan Am) flew on December 20 1957, and entered service later the following year. Developments of the 707-120 include the similar 707-220, the shorter 138 for Qantas, and the stretched 707-320, which flew in July 1959. The 707-120 and 320 were later reengined with JT3D turbofans (in place of the original JT3 and JT4 turbojets) to become the 707-120B, and the 707-320B respectively. The 707-320C was a convertible model, the 707-420 was powered by RollsRoyce Conways, while the proposed CFM-56 powered 707-700 upgrade was flight tested in the late 1970s but never entered production. 

Most civil 707s in service today have been converted to freighters, while a number are used as corporate transports. 

Many air forces have bought 707s, new or converted second-hand aircraft, for general transport, aerial refuelling, and electronic warfare. The E-3 Sentry is a dedicated airborne warning and control system (AWACS) platform with a large rotodome above the fuselage. The E-6 Mercury performs the TACAMO (Take Charge and Move Out) role with the US Navy, maintaining communication with the ballistic missile submarines. The E-8 J-Stars (Joint Surveillance Target Attack Radar System) performs the battlefield control role. Other military 707s received the designations C-137, or C-18, but many others have no special military designation.",,Operational
boeing717,"The 100 seat 717 is the latest development of the popular DC-9/MD-80/MD-90 family and the only Douglas airliner which Boeing (which merged with McDonnell Douglas in 1997) plans to retain in its product line-up. It is designed for high cycle, short range regional airline operations. 

McDonnell Douglas first announced the MD-95 at the Paris Airshow in June 1991. At the time MDC anticipated a formal program launch by late 1991 and a first flight in July 1994. As it happened program launch was not until October 1995 when US airline ValuJet (now AirTran Airlines) ordered 50 and optioned 50. 

In January 1998 Boeing (following the August 1997 Boeing/McDonnell Douglas merger) relaunched the aircraft as the 717-200 (the second use of the Boeing designation ""717"", as this was previously allocated to the military C-135/KC-135 family). First flight took place on September 2 1998, followed by a second development 717 on October 26. Certification was awarded on September 1 1999 while the first delivery, to AirTran, was on September 23 that year. 

Initially MDC studied powering the MD-95 with Pratt & Whitney JT8D-218s or Rolls-Royce Tays. In February 1994 however MDC announced it had chosen the new BMW Rolls-Royce (now just Rolls-Royce) BR715 over the JT8D-200 and an engine from the proposed ""Project Blue"" teaming of General Electric, Snecma, MTU and P&W. 

Other 717-200 features include a fuselage 1.45m (4ft 9in) longer than the DC-9-30's, a wing based on the DC-9-34's, an advanced six LCD screen Honeywell EFIS flightdeck, and a cabin interior similar to that developed for the MD-90. It is offered in standard 717-200BGW (Basic Gross Weight) and extended range 717-200HGW (High Gross Weight) forms. In addition, 80 seat shortened 717-100 (formerly MD-95-20) and 120 seat stretched 717-300 (formerly MD-95-50) models have been studied, as has a business jet variant. 

Companies participating in 717 production include Alenia (fuselage), Korean Air (nose), AIDC of Taiwan (empennage), ShinMaywa of Japan (engine pylons and horizontal stabilizers), Israel Aircraft Industries (undercarriage), and Fischer of Austria (interior). Final assembly is at Boeing's Long Beach plant, in the same building that the DC-9 and MD-80 were built in. 

Initial orders and operators are:
AeBal, Airtran, Bangkok Air, Bavaria International Leasing, Hawaiian Airlines, Impulse Airlines, Midwest Express Airlines, Olympic Aviation, Pembroke Leasing, Qantas Link, Siam Reap Air, Trans World Airlines, and Turkmenistan Airlines.",,Operational
boeing720,"The 720 is a smaller capacity, lighter, medium range variant of the 707, given its own model number to indicate significant engineering changes. 

Introduced in 1959, the 720 (originally designated 707-020) retained the same basic structure as the 707-120, but was 2.54m (8ft 4in) shorter, which reduced seating to 112 (38 + 74) in a typical two class arrangement. Other changes were made to the wing which introduced full span leading edge flaps, while a glove between the inner engines and the fuselage increased wing sweep and wing area and decreased the wing's thickness/chord ratio. The changes to the wing made it more aerodynamically efficient, permitting higher cruising speeds and lowered minimum speeds (which aided field performance). 

Like the early 707s the first 720s had JT3C turbojets, although less powerful models lacking water injection because of the 720's lighter weight. Compared with the 707-120 the 720 also had reduced fuel capacity and a lower max takeoff weight. But many components were interchangeable between the 720 and 707, while inside the cabin the 720 and 707 shared the same passenger interior and flightdeck. 

The initial 720 (bound for launch customer United) first flew on November 23 1959. Certification was awarded on June 30 1960, and entry into service with United Airlines was on July 5 that year. 

The availability of the far more fuel efficient Pratt & Whitney JT3D turbofan resulted in the 720B, which was powered by either JT3D1s or 3s. First flight of the 720B was on October 6 1960, with certification awarded on March 3 1961. The 720B also featured a higher maximum zero fuel weight (significantly boosting payload/range) and an increased max takeoff weight due to the heavier turbofan engines. 

Major 720 operators included American Airlines (a number of its 720s were converted to 720Bs with turbofan engines), United, Continental, Eastern, Northwest Orient and Western, while operators outside the US included Lufthansa and Avianca. 

Today (early 2002) three 720s are believed to be in use as corporate transports, and two are used by Pratt & Whitney as engine testbeds.",,Operational
boeing727100,"The 727 short to medium range trijet is the world's second most successful jet airliner built. 

Initial design studies began in 1956, although for a time it appeared that a new short/medium range airliner would not be built at all due to Boeing's financial position before sales of the 707 had taken off. Boeing persisted however and serious development of the 727 beginning in June 1959. The program was launched on the strength of orders for 80 from Eastern and United in 1960. 

The resulting Boeing Model 727 pioneered the rear trijet configuration, with power from three specially designed Pratt & Whitney JT8D turbofans (although RollsRoyce Speys were originally considered). The trijet design was settled upon as it gave the redundancy of three engines, better climb performance than a twin and improved operating economics over a four engine jet. The 727 also introduced an advanced wing design with the first airliner application of triple slotted Krueger flaps. The 727 retained the 707's fuselage cross section, but with a redesigned smaller lower fuselage due to the need to carry less baggage on shorter range flights, and it has limited parts commonality with the 707 and 720. The 727 was also the first Boeing airliner to feature an APU (auxiliary power unit). 

The prototype 727 first flew on February 9 1963, with certification granted in December that year. The first 727 entered service with Eastern Airlines on February 9 the following year. 

Development of the initial 727-100 resulted in a small family of sub variants, including higher gross weight options for the basic passenger carrying 727, the 727-100C Convertible and 727-200QC Quick Change, both with a large freight door on the forward left hand side of the fuselage. Many were subsequently converted to pure freighters. The stretched 727-200 is described separately. 

Production of the 727-100 ceased in 1973 but one recent notable development was Dee Howard in the USA upgrading a number of 727-100 freighters for express freight operator UPS. The major feature of the upgrade was reengining with RollsRoyce Tays, which improves performance, reduces fuel consumption and more importantly, allows the aircraft to meet Stage 3 noise requirements.",,Operational
boeing727200,"The 727-100 had been in service barely a year when Boeing began serious consideration of a stretched, greater capacity development. 

This resulted in the 727-200, which Boeing announced it was developing in August 1965. The 727-200 was essentially a minimum change development of the 100, the only major change being the 6.10m (20ft) fuselage stretch, which increased maximum seating to 189 passengers. The 727-200's stretch consisted of two 3.05m (10ft) plugs, one forward and one rear of the wing. Otherwise the 727-100 and 200 shared common engines, fuel tank capacity and the same maximum takeoff weight. 

The first flight of the 727-200 occurred on July 27 1967, with certification granted in late November that year. The -200 was placed into service by launch customer Northeast Airlines (this airline was later acquired by Delta) the following month, by which time total 727 orders for both models had exceeded 500. 

The 727-200 helped broaden the sales appeal of the 727 considerably and snared significant sales. However the 200 was restricted by its relatively short range, due to it having the same fuel capacity as the 727-100, so Boeing developed the increased range Advanced 727-200. First flown in March 1972 changes introduced on the Advanced model included increased fuel capacity, and thus range, the option of more powerful engines, quieter engine nacelles and strengthened structure. The Advanced remained the primary 727-200 production model until production ceased in 1984. 

The 727-200 remains popular with passengers and pilots but it does not meet Stage 3 noise requirements. To overcome this a number of hushkit programs are on offer while Valsan converted 23 727s to its Stage 3 compliant Quiet 727 standard (before the company collapsed). This retrofit included installing JT8D-217s on the outer pylons and acoustic treatment of the centre engine. Other 727s have been fitted with winglets for improved performance.",,Operational
boeing737100200,"The 737-100 and 200 are the first generation production models of the world's most successful jet airliner family, Boeing's 737 twinjet. 

The 737 was conceived as a short range small capacity airliner to round out the Boeing jet airliner family beneath the 727, 720 and 707. Announced in February 1965, the 737 was originally envisioned as a 60 to 85 seater, although following consultation with launch customer Lufthansa, a 100 seat design was settled upon. Design features included two underwing mounted turbofans and 60% structural and systems commonality with the 727, including the same fuselage cross section (making it wider than the competing five abreast DC-9 and BAC-111). 

The 737-100 made its first flight on April 9 1967 and entered service in February 1968 with Lufthansa, while the last of 30 built was delivered to Malaysia-Singapore Airlines in October 1969. 

By this time however the larger capacity 1.93m (6ft 4in) stretched 737-200 was in service after it had made its first flight on August 8 1967. First delivery, to United, was that December.

Developments of the -200 include the -200C convertible and quick change -200QC, while an unprepared airfield kit was also offered. The definitive Advanced 737-200 appeared in 1971, featuring minor aerodynamic refinements and other improvements. 

Sales of the 737-200 far exceeded that of the shorter -100 and the 737-200 remained in production until 1988, by which time it had been superseded by the improved 737-300, after 1114 had been built. Many have been fitted with Stage 3 engine hushkits, and a number of passenger aircraft have been converted with cargo doors.

The USAF ordered 19 as navigation trainers, and some were later converted to standard transport aircraft as CT-43A. A few other air forces received 737-200s to serve in general transport, surveillance or VIP transport tasks.",,Operational
boeing737300,"The 737-300 is the first of the three member second generation CFM56 powered 737 family, which also comprises the stretched 737-400 and shortened 737-500. The success of the second generation Boeing 737 family pushed sales of the mark to over 3000, a record for a commercial jetliner. 

Boeing announced it was developing the 737-300 in March 1981. This new variant started off as a simple stretch over the 737-200 but Boeing decided to adopt the CFM International CFM56 high bypass turbofan (jointly developed by General Electric and SNECMA) to reduce fuel consumption and comply with the then proposed International Civil Aviation Organisation Stage 3 noise limits. 

Despite the all new engines and the 2.64m (104in) fuselage stretch, the 737-300 retains 80% airframe spares commonality and shares the same ground handling equipment with the 737-200. A number of aerodynamic improvements were incorporated to further improve efficiency including modified leading edge slats and a new dorsal fin extending from the tail. Another feature was the flattened, oval shaped engine nacelles, while the nosewheel leg was extended to increase ground clearance for the new engines. Other internal changes include materials and systems improvements first developed for the 757 and 767 programs, including an early generation EFIS flightdeck (with four colour CRT screens). 

The 737-300 flew for the first time on February 24 1984, while first deliveries were from November 1984. Since that time well over 1000 737-300s have been sold and it forms the backbone of many airlines' short haul fleets. 

The stretched 737-400 and shortened 737-500 are described separately.",,Operational
boeing737400,"Boeing announced it was developing a new higher capacity version of the fast selling 737-300 in June 1986. 

The new aeroplane, the 737-400, was developed as a 150 seat class 727 replacement. Although Boeing had initially developed the 180 to 200 seat 757 to replace the successful 727, there still existed a considerable market for a near direct size replacement for the popular trijet. By developing the 737-400 as a minimum change stretch of the 737-300, Boeing was also able to offer considerable commonality, and thus cost, benefits to operators already with the 737-300, and to a lesser extent, the 737-200 in their fleets. 

The major change of the 737-400 over the smaller 300 is a 3.05m (10ft 0in) fuselage stretch, consisting of a 1.83m (6ft 0in) stretch forward and a 1.22m (4ft 0in) plug rear of the wing. The stretch increases maximum passenger seating to 188. To cope with the increased weights, more powerful CFM56s are fitted. Other changes are minor, such as a tail bumper fitted to protect against over rotation at takeoff, something that could have become a problem due to the increased fuselage length. 

A higher gross weight longer range version is offered. It features increased fuel capacity, and strengthened undercarriage and structures, but is otherwise identical to the standard 737-400. 

The first flight of the 737-400 occurred on February 19 1988 and it entered airline service in October that year with Piedmont. Of the 737-300/-400/-500 family the 400 has proven the most successful member behind the 300, its larger capacity and transcontinental US range meaning it has found a very useful market for Boeing as a 727 replacement. However the 737-400 does face stiff competition from the similar size Airbus A320, which has higher levels of technology, longer range and is faster (but is also heavier).",,Operational
boeing737500,"The 737-500 is the shortest and smallest member of the second generation 737-300/-400/-500 family, and the last to be developed. 

When the new stretched 737-300 first appeared it was intended to supplement, rather than replace, the 737-200. However the evolution of the 737-300 into a family of models led to the development of a new model comparable in size to the 737-200, but offering better fuel economy and extensive commonality with the 737-300 and -400 models. This was the 737-500, known before its May 1987 formal launch as the 737-1000. 

Like the preceding 737-300 and 737-400, the 737-500 is powered by CFM International CFM56s turbofans, in this case either 82.3kN (18,500lb) CFM563B1s or 89.0kN (20,000lb) CFM56-3C-1s. All three second generation 737 models share extensive systems and structure commonality, and a common aircrew type rating. These benefits offer real cost savings to an airline with two or more variants of the family in its fleet. 

The 737-500 is 31.01m (101ft 9in) in length, comparable to the 737-200's 30.53m (100ft 2in) length, and as such is a viable direct replacement for the earlier type. Like the 300 and 400, a higher gross weight longer range version is offered, featuring auxiliary fuel tanks and uprated engines. 

The 737-500's first flight occurred on June 30 1989, FAA certification was awarded on February 12 1990, with service entry later that same month. 

The 737-500's main appeal is for operators of large 737-400 and 737-300 fleets, as because the 500 is a shortened development of the 300, it still carries much of the structural weight needed for the higher weight models. This makes it less efficient than if it was designed specifically for its size category, however for operators of large 737-300/400 fleets, the extensive commonality benefits more than compensate for this.",,Operational
boeing737600700,"The 737-600 and -700 are the smaller members of Boeing's successful Next Generation 737-600/700/800/900 family. 

Among the many changes, the Next Generation 737s feature more efficient CFM56-7B turbofans. The CFM56-7 combines the core of the CFM56-5 with the CFM56-3's low pressure compressor and a 1.55m (61in) fan. The 737's new wing has greater chord, span and wing area, while the tail surfaces are also larger. The 2.4m (8ft) high winglets first developed for the Boeing Business Jet development are now offered as an option on the 737-700 (and -800). 

The new engines and wings allow the 737 to cruise at Mach 0.78 to Mach 0.80, while the larger wing allows greater fuel tankage and transcontinental USA range. Other features include a 777 style EFIS flightdeck with six flat panel LCDs which can be programmed to present information as on the 777 or as on the 737-300/400/500 series, allowing a common pilot type rating for the two 737 families. 

The improved Next Generation Boeing 737 family (originally covered by the 737X designation) was launched in November 1993. The 737-700 was the first member of the new family to be developed, and is based on the 737-300, while the 737-600 is based on the 737-500. 

The 737-700 rolled out on December 7 1996, was granted certification in November 1997 and entered service (with Southwest) the following month. The 737-600 was launched was launched on March 16 1996, first flew on January 22 1998 and entered service (with SAS) in September that year. 

The Boeing Business Jet or BBJ (described separately) is based on the fuselage of the 737-700 with the larger 737-800's wing. 

The BBJ's airframe also forms the basis for the convertible passenger/freighter variant of the 700, the 737-700QC, which has been ordered by the US Navy as the C-40A Clipper (to replace the DC-9 based C-9B). The C-40 first flew on April 17 2000. The naval aircraft can be converted to carry 121 passengers, or 3 pallets of cargo plus 70 passengers, or 8 pallets of cargo only. These aircraft are currently (2002) based at Naval Air Station Fort Worth, Texas (VR-59) and Naval Air Station Jacksonville, Florida (VR-58). 

The US Air Force has bought two ex-Fordair BBJs, which are designated C-40B.",,Operational
boeing737700800bbjbbj2,"The Boeing Business Jet - or BBJ - is a long range corporate jet development of the 737-700 and -800. 

Boeing Business Jets is a joint venture formed by Boeing and General Electric in July 1996 to develop and market a corporate version of the popular 737 airliner, initially focusing on the 737-700 based BBJ (or 737-700 BBJ). The first BBJ rolled out from Boeing's Renton plant on August 11 1998 and flew for the first time on September 4 that year. On October 30 the US FAA awarded certification to the developed 737-700 airframe on which the BBJ is based. The first completed BBJ was delivered on September 4 1999. 

The BBJ combines the Next Generation 737-700's airframe combined with the strengthened wing, fuselage centre section and landing gear of the larger and heavier 737-800, with three to 10 belly auxiliary fuel tanks. It features the Next Generation 737 advanced two crew six LCD screen EFIS avionics flightdeck, equipped with embedded dual GPS, TCAS, enhanced GPWS and Flight Dynamics head-up guidance system. Following their certification in September 2000, winglets became a standard option. 

Boeing supplies unfurnished or 'green' BBJ airframes to DeCrane of Georgetown, Delaware for long range fuel tank installation. From DeCrane the BBJ is flown to a customer specified completion centre for interior fit-out and exterior painting.

On October 11, 1999 Boeing launched the BBJ2, based on the stretched 737-800 airframe, which is 5.84m (19ft 2in) longer than the BBJ, and is offering 25% greater cabin space (and 100% more baggage space), but has slightly reduced range. It is fitted with between three and seven auxiliary belly fuel tanks. The winglets are standard on this version. The first delivery was made on February 28, 2001.",,Operational
boeing737800900,"Boeing's Next Generation 737-800 and 737-900 are the largest members of the strong selling 737 family. Unlike the other Next Generation 737s, the -800 and -900 introduce new fuselage lengths, extending 737 single class seating range out to 189, compared with 100 in the original 737-100. 

Like the -600 and -700, the -800 and -900 feature the Next Generation improvements including more efficient CFM56-7B turbofans, the new wing with greater chord, span and wing area, larger tail surfaces and the 777 style EFIS flightdeck with six flat panel LCDs which can present information as on the 777 or as on the 737-300/400/500 series, the latter allowing a common pilot type rating for the two 737 families. A HUD is optional. BBJ style winglets are offered as an optional feature for the -800. 

Until its launch on September 5, 1994 the 737-800 was known as the 737-400X Stretch. Compared with the -400 the -800 is 3.02m (9ft 9in) longer, taking typical two class seating from 146 to 162, while range is significantly increased. The -800 has sold strongly since its launch, and early 2002 was the highest selling Next Generation model. First flight was on July 31 1997, first delivery (to Hapag Lloyd) was in April 1998.

The largest single order for the -800 series has come from the Irish budget carrier, Ryanair. After 28 had already been ordered earlier, a firm order for 100 aircraft was made in January 2002, with an option of another 50, to be delivered over the next 8 years. Ryanair will use the aircraft in a single class configuration, to seat 189 passengers

A variant of the 737-800 is the Boeing Business Jet 2 (BBJ2), which is described separately. 

The 737-900 is the largest and latest member of the 737 family, and was launched on September 10, 1997 with an order for 10 from Alaska Airlines. A 1.57m (5ft 2in) plug forward of the wing and a 1.07m (3ft 6in) plug rear compared with the -800 increases seating to 177 in two classes (maximum seating is the same as the 737-800's due to emergency exit requirements). First flight was made August 3, 2000, and the first delivery (to Alaska Airlines) May 15, 2001.",,Operational
boeing747100200,"The hugely significant 747 revolutionised airline transport. Far bigger than anything before it, the 747 slashed operating costs per seat and thus cut the cost of long haul international airline travel. 

Boeing conceived the 747 in the mid 1960s following its failure to secure a US Air Force contract for an ultra large strategic transport (which resulted in the Lockheed C-5 Galaxy), when it identified a market for a high capacity 'jumbo jet'. Boeing was able to draw upon design experience with the USAF transport and launched the new airliner on July 25 1966. First flight occurred on February 9 1969, certification was awarded on December 30 that year. 

The basic 747-100 entered service with Pan American in January 1970. Progressive development of the 747 led to the 747-200B with higher weights, more powerful engines and longer range. The -200B first flew in October 1970 entering service with KLM, while nine higher weight 747-100Bs were built. 

Developments include the 747-200F freighter, the SR (short range) optimised for high cycle short sector operations and the C (Combi). 

The 747 holds a place in the public eye unlike any other aircraft. The so called `Queen of the Skies' opened up international travel to millions. It is also notable for being the first widebody airliner, the largest and heaviest airliner, and the first to use fuel efficient, high bypass turbofans.",,Operational
boeing747300,"Boeing's 747-300 model introduced the distinctive stretched upper deck which can seat up to 69 economy class passengers. 

The 747-300 was the end result of a number of Boeing studies which looked at increasing the aircraft's seating capacity. Ideas studied included fuselage plugs fore and aft of the wing increasing seating to around 600, or running the upper deck down the entire length of the fuselage. In the end Boeing launched the more modest 747SUD (Stretched Upper Deck) with greater upper deck seating on June 12 1980. 

The 747SUD designation was soon changed to 747EUD (for Extended Upper Deck), and then 747-300. The new model first flew on October 5 1982 and was first delivered to Swissair on March 28 1983. Other customers included UTA, Saudia, SIA, Qantas and Cathay. 

Compared to the -200, the -300's upper deck is stretched aft by 7.11m (23ft 4in), increasing economy class seating from 32 to a maximum of 69. The lengthened upper deck introduced two new emergency exit doors and allows an optional flightcrew rest area immediately aft of the flightdeck to be fitted. Access is via a conventional rather than spiral staircase as on the earlier models. 

Otherwise the 747-300 is essentially little changed from the 747-200 and features the same takeoff weight and engine options. 747-300 variants include the 747-300M Combi and the short range 747-300SR built for Japan Air Lines for domestic Japanese services. 

The extended upper deck was also offered as a retrofit to existing 747-100/-200s, although the only airlines to take up this option were KLM and UTA. KLM has since converted two to freighters, resulting in the first 747 freighters with the stretched upper deck. Also, two JAL 747-100s were delivered new with the extended upper deck.",,Operational
boeing747400,"The 747-400 is the latest, longest ranging and best selling model of the 747 family. 

Boeing launched the 747-400 in October 1985 and the first development aircraft first flew on April 29 1988. US certification (with PW-4000s) was awarded in January 1989. 

The 747-400 externally resembles the -300, but it is a significantly improved aircraft. Changes include a new, two crew digital flightdeck with six large CRT displays, an increased span wing with winglets (the -400 was the first airliner to introduce winglets), new engines, recontoured wing/fuselage fairing, a new interior, lower basic but increased max takeoff weights, and greater range. 

Apart from the basic passenger 747-400 model, a number of variants have been offered including the winglet-less 747-400 Domestic optimised for Japanese short haul domestic sectors, the 747-400M Combi passenger/freight model, and the 747-400F Freighter (which combines the 747-200F's fuselage with the -400's wing).

The latest model is the 747-400ER, which was launched on November 28, 2000 when Qantas placed an order for 6. The -400ER has the same size as the -400, but has more range or payload capability. The MTOW was increased by 15,870kg (35,000lb) to 412,770kg (910,000lb), giving a further range of 805km (435nm) or a 6800kg (15,000lb) greater payload. The -400ER also features a wholly new cabin interior with larger luggage bins, and several flight deck improvements.

The -400ER incorporates the strengthened wing, body, and landing gear of the -400F, plus an auxiliary fuel tank in the forward cargo hold, and an optional second one. Operators who don't need these can remove them both, gaining additional cargo volume.

The first 747-400ER was rolled out in June 2002, and flew for the first time on July 31, 2002, and this was the 1308th 747 to fly. 

A cargo version, the 747-400ERF, followed the standard -400ER, and was launched April 30, 2001 on an order by leasing company ILFC for 5. The first -400ERF is the 1315th 747 built. The -ERF has the same MTOW as the -ER, and this will give an extra range of 970km (525nm), or an extra payload of 9980kg (22,000lb) at MTOW compared with the standard -400F.     

Shortly before delivery of the first -400ER, Boeing had received orders for 15 ER/ERFs from 5 customers.

Various growth 747 models have been studied. The 747-500X and -600X models were dropped in January 1997.  Boeing is currently proposing the 747-400XQLR (Quiet Longer Range) to 747-size customers which will offer more range, more quiet, and more features.",,Operational
boeing747sp,"Boeing developed the 747SP in the mid 1970s as a longer range, shortened 747, trading passenger seating for extra range. The 747SP is the only 747 model to feature a changed fuselage length compared with the 747-100.

The 747SP first flew on July 4 1975, certification was awarded on February 4 1976 and first delivery (to Pan American) was in March 1976. 

The 747SP's fuselage is shortened by 14.35m (47ft 1in) compared to other 747 models, while the vertical tail was increased in height to compensate for the reduced moment arm with the shorter fuselage. Structurally the 747SP was lightened in some areas because of the significant reduction in gross weights. Overall though the 747SP retained 90% commonality of components with the 747-100 and 200. While shortening the 747's fuselage increased the fuel fraction and thus range, it also meant that seating capacity was reduced.  

The SP suffix in 747SP stands for Special Performance, and points to the ultra long range abilities of this 747 variant that preceded the later 747-400 by 15 years. The 747SP's range is best illustrated by the spate of long range distance records it set in the mid 1970s. The most prominent of those was the delivery flight of a South African Airways SP, which over March 23/24 1976 flew nonstop with 50 passengers from Paine Field in Washington State to Cape Town, South Africa, a distance of 16,560km (8940nm). This world nonstop record for a commercial aircraft stood until 1989 when a Qantas 747-400 flew 17,945km (9688mn) nonstop from London to Sydney. 

Sales of the 747SP were modest despite the increased range, as the SP had poorer operating economics per seat compared to the 747-200. However the 747SP did pioneer a number of long range nonstop services that are now commonly flown by the 747-400. 

Notable SP customers included South African Airways (who found the SP's extended range a great asset in bypassing African nations that denied it landing rights while South Africa's apartheid policies were in place), Qantas and PanAm, the latter pioneering nonstop trans Pacific Los Angeles/Sydney services.

In early 2005 less than twenty SPs remain in airline or corporate service.",,Operational
boeing757200,"After a slow sales start, the medium range single aisle 757 has become yet another sales success story for Boeing. 

Boeing considered a number of proposals for a successor to the 727 tri-jet during the 1970s, with many of these designs featuring the nose and T-tail of the earlier jet. It was not until later in that decade however that Boeing settled on a more conventional design featuring the same cross section as the 727 (not to mention the 737, 707 and 720) but with the fuselage considerably longer in length, an all new wing, nose and flightdeck and fuel efficient high bypass turbofan engines. 

Boeing launched development of the 757 in March 1979 following orders from British Airways and Eastern. Developed in tandem with the larger widebody 767 the two types share a number of systems and technologies, including a common early generation EFIS flightdeck. 

First flight was on February 19 1982 and the 757 entered service in January the following year. Subsequent versions to appear are the 757-200PF Package Freighter, a pure freighter, and the 757-200M Combi (only one has been built). The standard passenger aircraft is designated the 757-200, there being no -100. The stretched 757-300 is described separately. 

Initial sales of the 757 were fairly slow, however orders picked up significantly in the mid to late 1980s as traffic on routes previously served by smaller 727s and 737s grew to require the 757's extra capacity. Today 757 sales comfortably exceed those of the 767, a position that was reversed until the late 1980s.",,Operational
boeing757300,"The stretched, 240 seat Boeing 757-300 is the first significant development of the basic 757-200 and is aimed primarily at the European vacation charter market. 

Although design work on the original 757 began in the late 1970s and its entry into service was in 1983, it wasn't until over a decade later in the mid 1990s that Boeing began to study a stretched development of its popular narrowbody twin. This new 757 stretch was covered by the 757-300X designation until its launch at the Farnborough Airshow in England in September 1996. 

The most obvious change over the 757-200 is the 300's 54.43m (178ft 7in) long fuselage, which is 7.11m (23ft 4in) longer than the standard aircraft (and only fractionally shorter than the 767-300). This fuselage stretch allows a 20% increase in seating to 225 to 279 passengers, depending on the interior configuration. Lower hold freight capacity is also increased by 40% over the 757-200 by virtue of the longer fuselage. 

Another feature of the 757-300 is its new interior which is based on that developed for the Next Generation 737 models. Features include a new sculptured ceiling, larger overhead bins, indirect overhead lighting and vacuum toilets. 

The 757-300 shares the 200's cockpit, wing, tail and powerplant options, although the 300 will feature strengthened structure and landing gear to cope with the increased weights, new wheels, tyres and brakes and a tailskid. 

The 757-300 first flew on August 2 1998, with certification in January 1999, and entry into service (with launch customer Condor - the charter arm of German flag carrier Lufthansa) in March 1999. The -300's 27 month development program from final configuration to planned first delivery is the fastest for any Boeing airliner (the 777-300 took 31 months for example). Other early customers are Icelandair, Arkia, Northwest, American Trans Air, Continental, and JMC Air.",,Operational
boeing767200,"The narrowest widebody in service, the 767 started life as an advanced technology mid to large size airliner in the late 1970s. 

Launched in July 1978, the 767 was developed in tandem with the narrowbody 757 with which it shares a common two crew EFIS flightdeck (with six colour CRT displays) and many systems. The 767 also features a unique width fuselage typically seating seven abreast in economy, and a new wing design with greater sweepback (compared to the 757) which was designed with high altitude cruise in mind. 

The 767 program also features a high degree of international participation, with Japanese companies in particular having a large share of construction. 

Initially Boeing intended to offer two versions, the longer 767-200 and short fuselage 767100 (which was not launched as it was too close in capacity to the 757). The 767 first flew on September 26 1981, and entered service (with United) on September 26 1982 (certification with P&W engines was awarded on July 30 1982). 

The longer range 767-200ER (Extended Range) version features higher weights and an additional wing centre section fuel tank. It first flew on March 6 1984, and service entry, with Ethiopian Airlines, was two months later. The 200ER accounts for 111 of the total 239 767-200s ordered. 

The last airliner 767-200/-200ER was delivered in 1994 until a November 1998 order from Continental. These had all been delivered by 2002, but military orders for 767 tankers will keep the -200 in production.",,Operational
boeing767300,"Boeing announced that it was developing a stretched development of the 767-200 in February 1982. 

The resulting 767-300 features a 6.42m (21ft 1in) stretch consisting of fuselage plugs forward (3.07m/10ft 1in) and behind (3.35m/11ft) the wing centre section. The flightdeck and systems were carried directly over from the 767-200, the only other changes were minor, and related to the increased weights of the new version. Initially the max takeoff weight was the same as the later 767-200ER. 

The 767-300 flew for the first time on January 30 1986, and was awarded certification and entered service in September that year. The higher weight Extended Range ER version flew on December 19 1986, while RollsRoyce RB-211-524G engines became available from 1989. The range of the 767-300ER has proven to be very popular with a number of airlines using them for long range low density flights. 

In 1993 Boeing launched the 767-300F General Market Freighter. Changes include strengthened undercarriage and wing structure, a cargo handling system, no cabin windows and a main deck freight door. Capacity is 24 containers. The further stretched 767-400 is described separately.",,Operational
